Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
10,2.186,0.065,0.89256,75.1389,93.6982,0.0001
11,2.189,0.067,0.89051,75.3277,93.478,0.0001
0,2.482,0.116,3.94485,10.8105,28.185,0.01
1,2.248,0.163,2.65355,31.8234,63.7517,0.01
2,2.277,0.193,2.12254,43.7454,74.9083,0.01
3,2.225,0.148,1.83383,50.4037,80.109,0.01
4,2.234,0.157,1.59864,56.1288,84.5025,0.01
5,2.218,0.141,1.3002,63.9404,88.5813,0.001
6,2.205,0.131,1.16376,68.3548,90.8986,0.001
7,2.205,0.123,1.10681,70.1898,91.1503,0.001
8,2.223,0.146,1.06522,70.8294,92.0206,0.0001
9,2.24,0.156,1.06413,70.5673,91.8213,0.0001
0,2.343,0.065,3.54634,16.6719,39.2471,0.01
1,2.191,0.068,2.28397,41.0402,73.2096,0.01
2,2.186,0.065,1.79294,52.0289,82.1013,0.01
3,2.201,0.079,1.5309,58.2468,85.7293,0.01
4,2.199,0.08,1.34418,63.4581,88.3087,0.01
5,2.181,0.06,1.20539,67.2329,90.1017,0.01
6,2.189,0.068,1.09941,69.5082,91.5172,0.01
7,2.188,0.066,1.04251,71.6473,92.052,0.01
8,2.19,0.068,0.90652,73.996,93.3627,0.01
9,2.188,0.065,0.91805,74.5203,94.0023,0.01
10,2.196,0.074,0.80576,77.2989,95.0194,0.01
11,2.184,0.063,0.77845,77.8652,95.0404,0.01
12,2.186,0.064,0.7305,78.8508,95.5542,0.01
13,2.191,0.071,0.69746,80.2034,96.0365,0.01
14,2.192,0.072,0.46971,86.652,97.4835,0.001
15,2.198,0.078,0.37579,89.4097,98.165,0.001
16,2.196,0.073,0.36544,89.5984,98.186,0.001
17,2.195,0.075,0.33366,90.5106,98.3643,0.001
18,2.194,0.077,0.31884,90.9825,98.6264,0.001
19,2.2,0.08,0.31053,91.2761,98.553,0.001
20,2.187,0.068,0.29641,91.4963,98.6054,0.001
21,2.184,0.065,0.28578,91.9996,98.5949,0.001
22,2.203,0.081,0.27424,92.2303,98.8571,0.001
23,2.198,0.076,0.2635,92.786,98.8781,0.001
24,2.194,0.073,0.26207,93.0062,98.8466,0.0001
25,2.203,0.081,0.25955,92.3351,98.9724,0.0001
26,2.195,0.076,0.26008,92.5553,98.7627,0.0001
27,2.195,0.077,0.24587,93.0167,99.0353,0.0001
28,2.194,0.075,0.25127,92.9118,99.1087,0.0001
29,2.195,0.074,0.23957,93.2474,99.0668,0.0001
30,2.202,0.082,0.25333,92.4295,99.0039,0.0001
0,2.338,0.065,3.5271,17.5946,39.331,0.01
1,2.191,0.071,2.27729,40.6941,72.8426,0.01
2,2.2,0.079,1.80459,52.3959,81.7028,0.01
3,2.188,0.068,1.54915,58.3307,85.6139,0.01
4,2.201,0.08,1.31599,63.7517,88.812,0.01
5,2.199,0.078,1.19957,66.6981,90.259,0.01
6,2.191,0.072,1.09607,69.7599,91.36,0.01
7,2.198,0.074,0.99507,71.469,93.132,0.01
